Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolate,Isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_uvig,SRA Study,virus_enrich_appr
SRR12768730,Targeted-Capture,NC_045512.2,151,10073234408,PRJNA667180,SAMN16361034,MIUVIG.host-associated,2023638169,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239478,China,Asia,China: Beijing,Homo sapiens,NextSeq 500,D6,sputum,39.9 N 116.4 E,Lib010,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S010,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768731,Targeted-Capture,NC_045512.2,299,14229369150,PRJNA667180,SAMN16361114,MIUVIG.host-associated,2065327843,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239477,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,D5,pharyngeal swab,39.9 N 116.4 E,Lib090,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S090,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768732,Targeted-Capture,NC_045512.2,299,4455031200,PRJNA667180,SAMN16361113,MIUVIG.host-associated,441508518,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239476,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,D53,feces,39.9 N 116.4 E,Lib089,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S089,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768733,Targeted-Capture,NC_045512.2,299,2327318850,PRJNA667180,SAMN16361112,MIUVIG.host-associated,253074745,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239475,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,D116,feces,39.9 N 116.4 E,Lib088,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S088,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768734,Targeted-Capture,NC_045512.2,299,13436492400,PRJNA667180,SAMN16361111,MIUVIG.host-associated,1458361570,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239474,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,D12,feces,39.9 N 116.4 E,Lib087,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S087,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768735,Targeted-Capture,NC_045512.2,299,244516350,PRJNA667180,SAMN16361110,MIUVIG.host-associated,25413101,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239473,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,D68,feces,39.9 N 116.4 E,Lib086,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S086,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768736,Targeted-Capture,NC_045512.2,299,1447194300,PRJNA667180,SAMN16361109,MIUVIG.host-associated,132297749,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239472,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,D85,sputum,39.9 N 116.4 E,Lib085,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S085,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768737,Targeted-Capture,NC_045512.2,299,1432239150,PRJNA667180,SAMN16361108,MIUVIG.host-associated,146779558,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239471,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,D25,pharyngeal swab,39.9 N 116.4 E,Lib084,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S084,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768738,Targeted-Capture,NC_045512.2,299,28306339050,PRJNA667180,SAMN16361107,MIUVIG.host-associated,3082841063,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239470,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,D34,pharyngeal swab,39.9 N 116.4 E,Lib083,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S083,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768739,Targeted-Capture,NC_045512.2,299,52336430550,PRJNA667180,SAMN16361106,MIUVIG.host-associated,7337940604,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239469,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,D24,feces,39.9 N 116.4 E,Lib082,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S082,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768740,Targeted-Capture,NC_045512.2,299,3738543450,PRJNA667180,SAMN16361105,MIUVIG.host-associated,363279327,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239468,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,D31,pharyngeal swab,39.9 N 116.4 E,Lib081,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S081,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768741,Targeted-Capture,NC_045512.2,151,10051884184,PRJNA667180,SAMN16361033,MIUVIG.host-associated,1488421495,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239467,China,Asia,China: Beijing,Homo sapiens,NextSeq 500,D95,sputum,39.9 N 116.4 E,Lib009,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S009,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768742,Targeted-Capture,NC_045512.2,299,6941024100,PRJNA667180,SAMN16361104,MIUVIG.host-associated,955654746,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239466,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,D35,sputum,39.9 N 116.4 E,Lib080,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S080,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768743,Targeted-Capture,NC_045512.2,299,37203183750,PRJNA667180,SAMN16361103,MIUVIG.host-associated,4215296849,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239465,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,D32,pharyngeal swab,39.9 N 116.4 E,Lib079,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S079,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768744,Targeted-Capture,NC_045512.2,299,3904512150,PRJNA667180,SAMN16361102,MIUVIG.host-associated,419057034,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239464,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,D80,feces,39.9 N 116.4 E,Lib078,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S078,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768745,Targeted-Capture,NC_045512.2,299,25210230300,PRJNA667180,SAMN16361101,MIUVIG.host-associated,2291072527,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239463,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,D62,feces,39.9 N 116.4 E,Lib077,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S077,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768746,Targeted-Capture,NC_045512.2,299,9699688050,PRJNA667180,SAMN16361100,MIUVIG.host-associated,977259808,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239462,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,D33,pharyngeal swab,39.9 N 116.4 E,Lib076,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S076,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768747,Targeted-Capture,NC_045512.2,299,1801750950,PRJNA667180,SAMN16361099,MIUVIG.host-associated,291689627,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239461,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,D41,feces,39.9 N 116.4 E,Lib075,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S075,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768748,Targeted-Capture,NC_045512.2,299,3182210100,PRJNA667180,SAMN16361098,MIUVIG.host-associated,346387705,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239460,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,D83,sputum,39.9 N 116.4 E,Lib074,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S074,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768749,Targeted-Capture,NC_045512.2,151,152106856,PRJNA667180,SAMN16361097,MIUVIG.host-associated,17332329,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239459,China,Asia,China: Beijing,Homo sapiens,NextSeq 500,D91,sputum,39.9 N 116.4 E,Lib073,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S073,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768750,Targeted-Capture,NC_045512.2,151,174047220,PRJNA667180,SAMN16361096,MIUVIG.host-associated,18399170,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239458,China,Asia,China: Beijing,Homo sapiens,NextSeq 500,D87,sputum,39.9 N 116.4 E,Lib072,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S072,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768751,Targeted-Capture,NC_045512.2,151,374485364,PRJNA667180,SAMN16361095,MIUVIG.host-associated,49652257,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239457,China,Asia,China: Beijing,Homo sapiens,NextSeq 500,D84,sputum,39.9 N 116.4 E,Lib071,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S071,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768752,Targeted-Capture,NC_045512.2,151,7310724696,PRJNA667180,SAMN16361032,MIUVIG.host-associated,968433571,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239456,China,Asia,China: Beijing,Homo sapiens,NextSeq 500,D66,pharyngeal swab,39.9 N 116.4 E,Lib008,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S008,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768753,Targeted-Capture,NC_045512.2,151,954206904,PRJNA667180,SAMN16361094,MIUVIG.host-associated,117659364,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239455,China,Asia,China: Beijing,Homo sapiens,NextSeq 500,D67,feces,39.9 N 116.4 E,Lib070,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S070,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768754,Targeted-Capture,NC_045512.2,151,131096884,PRJNA667180,SAMN16361093,MIUVIG.host-associated,14932236,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239454,China,Asia,China: Beijing,Homo sapiens,NextSeq 500,D65,feces,39.9 N 116.4 E,Lib069,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S069,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768755,Targeted-Capture,NC_045512.2,151,2033999096,PRJNA667180,SAMN16361092,MIUVIG.host-associated,290180763,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239453,China,Asia,China: Beijing,Homo sapiens,NextSeq 500,D56,feces,39.9 N 116.4 E,Lib068,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S068,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768756,Targeted-Capture,NC_045512.2,151,254334760,PRJNA667180,SAMN16361091,MIUVIG.host-associated,28346992,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239452,China,Asia,China: Beijing,Homo sapiens,NextSeq 500,D55,feces,39.9 N 116.4 E,Lib067,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S067,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768757,Targeted-Capture,NC_045512.2,151,2575563012,PRJNA667180,SAMN16361090,MIUVIG.host-associated,398215395,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239451,China,Asia,China: Beijing,Homo sapiens,NextSeq 500,D118,sputum,39.9 N 116.4 E,Lib066,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S066,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768758,Targeted-Capture,NC_045512.2,151,54077876,PRJNA667180,SAMN16361089,MIUVIG.host-associated,6511675,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239450,China,Asia,China: Beijing,Homo sapiens,NextSeq 500,D10,pharyngeal swab,39.9 N 116.4 E,Lib065,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S065,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768759,Targeted-Capture,NC_045512.2,151,143961480,PRJNA667180,SAMN16361088,MIUVIG.host-associated,16942671,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239449,China,Asia,China: Beijing,Homo sapiens,NextSeq 500,D11,pharyngeal swab,39.9 N 116.4 E,Lib064,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S064,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
